id_protac,linker_canonical,warhead_canonical,e3_ligand_canonical,smiles_canonical
1,CCOCCOC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1
2,CCOCCOCCOCCOC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1
3,CCNC(=O)COCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCC(=O)NCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1
4,CCNC(=O)COCCOCCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCC(=O)NCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1
5,CCOCCOCC=O,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]NCC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC3=C2NC=C3Cl,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCC(=O)NCC2=CC=C(S(=O)(=O)NC3=CC=CC4=C3[NH]C=C4Cl)C=C2)CC1
6,CCOCCOCCOCCOCC=O,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]NCC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC3=C2NC=C3Cl,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCC(=O)NCC2=CC=C(S(=O)(=O)NC3=CC=CC4=C3[NH]C=C4Cl)C=C2)CC1
7,CCOCCOCCOCCOCCOC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1
8,CCCCCOCCOC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCCCCOCCOCC(=O)N[C@@H](C(=O)N2C[C@@H](O)C[C@@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1
9,CCOCCOCCOC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1
10,COCCOCCOCC=O,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]C(=O)N[C@H](C(=O)N1C[C@@H](C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(N=CS3)C)O)C(C)(C)C,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(C(=O)COCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1
11,CCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
12,CCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)C#N)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)CC1
13,CCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(C)=O)C(C)(C)C)CC1
14,CCOCCOCCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
15,CCOCCOCCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)C#N)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)CC1
16,CCOCCOCCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(C)=O)C(C)(C)C)CC1
17,CCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
18,CCOCC,[R1]N1CCN(CC1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CCN(CCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
19,CCOCCOCC,[R1]N1CCN(CC1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CCN(CCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
20,CCOCCOCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
21,CCOCCOCCOCC,[R1]N1CCN(CC1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CCN(CCOCCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
22,CCCCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCCCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
23,CCCCC,[R1]N1CCN(CC1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CCN(CCCCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
24,CCCCCOCC,[R1]N1CCN(CC1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCCCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
25,CCCCCOCC,[R1]N1CCN(CC1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CCN(CCCCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
26,CCOCC=O,[R1]NC1CN(C1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CC(NC(=O)COCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
27,CCOCC=O,[R1]NC1CN(C1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CC(NC(=O)COCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
28,CCOCCOCC=O,[R1]NC1CN(C1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CC(NC(=O)COCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
29,CCOCCOCC=O,[R1]NC1CN(C1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CC(NC(=O)COCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
30,CCOCCOCCOCC=O,[R1]NC1CN(C1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CC(NC(=O)COCCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
31,CCOCCOCCOCC=O,[R1]NC1CN(C1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CC(NC(=O)COCCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
32,CCCCC=O,[R1]NC1CN(C1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CC(NC(=O)CCCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
33,CCCCC=O,[R1]NC1CN(C1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CC(NC(=O)CCCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
34,CCOCCCCC=O,[R1]NC1CN(C1)CC2=C(C=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CC(NC(=O)CCCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
35,CCOCCCCC=O,[R1]NC1CN(C1)CC2=CC(=C(C=C2OC)C3=CN(C(=O)C4=C3C=CN=C4)C)OC,[R2]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=C(OC)C=C1CN1CC(NC(=O)CCCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)C1
36,O=CCO,[R1]N1CCN(CC1)CCN2C3=C(C=CC=C3C4=C(N(N=C4C)C)COC5=CC=C(C=C5)N6CCN(CC6)S(=O)(=O)N(C)C)C(=C2C(=O)O)CCCOC7=CC=CC8=CC=CC=C87,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CC1=NN(C)C(COC2=CC=C(N3CCN(S(=O)(=O)N(C)C)CC3)C=C2)=C1C1=CC=CC2=C1N(CCN1CCN(C(=O)COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC1)C(C(=O)O)=C2CCCOC1=CC=CC2=CC=CC=C12
37,CCCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
38,CCOCCOCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
39,None,[R1]C(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1CN(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2CC3=C(NC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)C=CC=C3C2=O)C(=O)N1
40,CC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
41,CCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
42,CCCCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCCCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
43,CCCCCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCCCCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
44,CCCCCCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCCCCCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
45,CCOCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
46,CCOCCOCCOCC,[R1]NC(=O)C1=CC=C(C=C1)NC(=O)[C@H]2[C@@H]([C@@]3(C4=C(C=C(C=C4)Cl)NC3=O)C5(N2)CCCCC5)C6=C(C(=CC=C6)Cl)F,[R2]NC1=CC=CC2=C1C(=O)N(C2=O)C3CCC(=O)NC3=O,O=C1CCC(N2C(=O)C3=CC=CC(NCCOCCOCCOCCNC(=O)C4=CC=C(NC(=O)[C@@H]5NC6(CCCCC6)[C@@]6(C(=O)NC7=CC(Cl)=CC=C76)[C@H]5C5=CC=CC(Cl)=C5F)C=C4)=C3C2=O)C(=O)N1
