id_protac,linker_canonical,warhead_canonical,e3_ligand_canonical,smiles_canonical
1902,C#CCCC,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCCC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1903,C#CCOCC,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCOCC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1904,C#CCOCC,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)N,[R2]C1=C2CN(C(=O)C2=CC=C1)C3CCC(=O)NC3=O,NC(=O)C1=C(OCCOCC#CC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1905,C#CCC,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)N,[R2]C1=CC2=C(C=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=C(OCCC#CC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1906,C#CCCC,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=CC2=C(C=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCCC#CC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1907,C#CCOCC,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)N,[R2]C1=CC2=C(C=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,NC(=O)C1=C(OCCOCC#CC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1908,C#CCOCC,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=CC2=C(C=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCOCC#CC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1909,CCCCCCO,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1910,CCCCCCCCO,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
1911,CCCCCCCCCCO,[R1]OC1=C(SC(=N1)C2=CC(=NC=C2)NC(=O)C3CC3)C(=O)NC,[R2]C1=C2C(=CC=C1)C(=O)N(C2=O)C3CCC(=O)NC3=O,CNC(=O)C1=C(OCCCCCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)N=C(C2=CC=NC(NC(=O)C3CC3)=C2)S1
